station_id,brand_id,town,postcode,lat,lon
RO.1946.8,OMV,Roman,611124,46.93559,26.92076
RO.1947.8,OMV,Satu Mare,440034,47.78898,22.88848
RO.1949.8,OMV,Sibiu,550018,45.78945,24.08592
RO.1950.8,PETROM,Sighetu Marmatiei,435500,47.92787,23.8956
RO.1951.8,OMV,Sighisoara,545400,46.2266,24.8101
RO.1952.8,OMV,Simeria,335900,45.84512,23.00771
RO.1953.8,OMV,Slatina,230127,44.4363,24.37137
RO.1954.8,PETROM,Suceava,720018,47.65928,26.26498
RO.1955.8,OMV,Targoviste,130141,44.91072,25.48656
RO.1956.8,OMV,Tirgu Mures,540146,46.53126,24.5493
RO.1957.8,OMV,Tirgu Mures,547530,46.59139,24.62389
RO.1958.8,OMV,Timisoara,300579,45.7419,21.2384
RO.1959.8,OMV,Timisoara,300158,45.75034,21.20978
RO.1960.8,OMV,Timisoara,300291,45.7813,21.22013
RO.1961.8,OMV,Timisoara,300181,45.73917,21.21059
RO.1962.8,OMV,Timisoara,300278,45.7697,21.23086
RO.1963.8,PETROM,Zalau,450099,47.2149,23.04204
RO.1966.8,OMV,Calarasi,917215,44.44347,26.68059
RO.1967.8,OMV,Calarasi,917215,44.44243,26.67989
RO.1968.8,OMV,Brasov,500483,45.69349,25.5864
RO.1969.8,OMV,"Loc. Sub Coasta, Com. Apahida",407043,46.79804,23.71679
RO.1974.8,PETROM,Calafat,205200,43.99456,22.94902
RO.1975.8,PETROM,Bucuresti,013337,44.49395,26.06303
RO.1986.8,PETROM,Lugoj,305500,45.72114,21.89674
RO.1997.8,OMV,Timisoara,300134,45.76501,21.26028
