"unique_coord_key","lat_rounded","lon_rounded","source_count","sources","station_ids","station_names"
"46.6534004211426,14.3138999938965",46.6534004211426,14.3138999938965,2,"ARBÖ;ÖAMTC","INFT-AJJKRF;1015019","AVANTI - Klagenfurt St.Veiter Stra<U+00DF>e 258;Avanti"
"46.6538009643555,14.2805004119873",46.6538009643555,14.2805004119873,1,"ARBÖ","INFT-AJJKRG","AVANTI - Klagenfurt Feldkirchnerstra<U+00DF>e 275"
"46.657600402832,14.6134004592896",46.657600402832,14.6134004592896,1,"ARBÖ","INFT-AJJLC2","Rudolf GmbH"
"46.6590003967285,14.1770000457764",46.6590003967285,14.1770000457764,1,"ARBÖ","INFT-ATLKD5","Turm<U+00F6>l Quick"
"46.6590995788574,13.8989000320435",46.6590995788574,13.8989000320435,1,"ARBÖ","INFT-AJSGFR","Shell Sattendorf/Annenheim"
"46.6590995788574,13.8994998931885",46.6590995788574,13.8994998931885,2,"ARBÖ;ÖAMTC","INFT-DFCMAA;1214076","Tankstelle Gerlitzen Kanzelbahn;Tankstelle Gerlitzen Kanzelbahn"
"46.6593017578125,14.6173000335693",46.6593017578125,14.6173000335693,1,"ARBÖ","INFT-CCEH93","eni"
"46.6613998413086,15.470100402832",46.6613998413086,15.470100402832,1,"ARBÖ","INFT-AJJKN2","Turm<U+00F6>l Quick"
"46.6623992919922,14.6266002655029",46.6623992919922,14.6266002655029,1,"ARBÖ","INFT-AJL6Z5","Shell Austria"
"46.6631011962891,14.6218004226685",46.6631011962891,14.6218004226685,2,"ARBÖ;JET","INFT-BJRTUP;21efcb25c4","JET TANKSTELLE;JET Tankstelle"
"46.663200378418,14.6288995742798",46.663200378418,14.6288995742798,1,"ARBÖ","INFT-AYTKDK","Turm<U+00F6>l Quick"
"46.6655006408691,12.9982995986938",46.6655006408691,12.9982995986938,1,"ARBÖ","INFT-CCAJSF","eni"
"46.665599822998,14.6354999542236",46.665599822998,14.6354999542236,1,"ARBÖ","INFT-B27GKE","Unser Lagerhaus Tankstelle"
"46.6721000671387,13.0031995773315",46.6721000671387,13.0031995773315,1,"ARBÖ","INFT-AJJKS7","Lagerhaus Tankstelle"
"46.6733016967773,13.0016002655029",46.6733016967773,13.0016002655029,2,"ARBÖ;ÖAMTC","INFT-CMWG64;1207925","One1 Tankstelle K<U+00F6>tschach;IQ Stiglechner"
"46.6735000610352,14.4201002120972",46.6735000610352,14.4201002120972,1,"ARBÖ","INFT-AJKHQE","Lagerhaus"
"46.679500579834,13.9684000015259",46.679500579834,13.9684000015259,1,"ARBÖ","INFT-C9MSHP","Turm<U+00F6>l Quick"
"46.6799011230469,15.4012002944946",46.6799011230469,15.4012002944946,2,"ARBÖ;ÖAMTC","INFT-AJNEQV;1208486","SOCAR Arnfels;SOCAR"
"46.6813011169434,14.6785001754761",46.6813011169434,14.6785001754761,1,"ARBÖ","INFT-CMDSQA","OMV Fast Lane - St. Jakob - Packerstra<U+00DF>e 3"
"46.6860008239746,15.3572998046875",46.6860008239746,15.3572998046875,2,"ARBÖ;ÖAMTC","INFT-AJVG65;1208893","LH Unterhaag;Lagerhaus"
"46.689998626709,13.6800003051758",46.689998626709,13.6800003051758,1,"ARBÖ","INFT-ASP3S7","ENI"
"46.6946983337402,14.1256999969482",46.6946983337402,14.1256999969482,1,"ARBÖ","INFT-AJJL7T","Moser Tankstelle Feldkirchen"
"46.69580078125,14.7369003295898",46.69580078125,14.7369003295898,2,"ARBÖ;ÖAMTC","INFT-CAMTUQ;1211393","Turm<U+00F6>l;Turm<U+00F6>l"
"46.69580078125,15.6378002166748",46.69580078125,15.6378002166748,1,"ARBÖ","INFT-CPRGBG","Ismaili Mefail"
"46.6999015808105,14.0164003372192",46.6999015808105,14.0164003372192,2,"ARBÖ;ÖAMTC","INFT-AJJL7S;1133810","Turm<U+00F6>l - Steindorf, Bundesstr. 2;Turm<U+00F6>l Quick"
"46.7025985717773,14.7285003662109",46.7025985717773,14.7285003662109,1,"ARBÖ","INFT-AJJLBS","avanti - Griffen"
"46.7066993713379,15.6338996887207",46.7066993713379,15.6338996887207,2,"ARBÖ;ÖAMTC","INFT-BBAJQA;1210267","avanti - Spielfeld Oberst Perle<U+00DF> Stra<U+00DF>e 9;Avanti"
"46.7080001831055,14.8663997650146",46.7080001831055,14.8663997650146,1,"ARBÖ","INFT-AJL6YJ","Raiff. Lagerhaus St. Paul"
"46.7085990905762,13.6695995330811",46.7085990905762,13.6695995330811,1,"ARBÖ","INFT-AJJL52","Lagerhaus"
"46.7193984985352,15.2602996826172",46.7193984985352,15.2602996826172,1,"ARBÖ","INFT-AJL3AL","LH Wies"
"46.7196998596191,15.6555004119873",46.7196998596191,15.6555004119873,2,"ARBÖ;ÖAMTC","INFT-CVLK28;1213473","Treibstoffparadies;Treibstoffparadies Kohlhammer"
"46.7200012207031,15.5854997634888",46.7200012207031,15.5854997634888,2,"ARBÖ;ÖAMTC","INFT-BEBEZA;1208650","LH Ehrenhausen;Lagerhaus"
"46.7207984924316,15.5566997528076",46.7207984924316,15.5566997528076,2,"ARBÖ;ÖAMTC","INFT-CW5JPR;1213489","M3 Gamlitz;M3 Tankstelle"
"46.7215995788574,14.1021995544434",46.7215995788574,14.1021995544434,1,"ARBÖ","INFT-AJJL7Q",""
"46.7221984863281,14.0988998413086",46.7221984863281,14.0988998413086,2,"ARBÖ;ÖAMTC","INFT-BBCK28;1210275"," AVIA Xpress (Automaten-Tankstelle);Avia XPress"
"46.7224006652832,13.2600002288818",46.7224006652832,13.2600002288818,2,"ARBÖ;ÖAMTC","INFT-AJLGCN;1209478","SOCAR Weissensee;SOCAR"
"46.7229995727539,14.0968999862671",46.7229995727539,14.0968999862671,1,"ARBÖ","INFT-AJKA8F","OMV - Feldkirchen 10. Oktober-Stra<U+00DF>e 23"
"46.7229995727539,15.2784996032715",46.7229995727539,15.2784996032715,1,"ARBÖ","INFT-AJL3AM","Hochkofler - Freie Tankstelle"
"46.7262001037598,14.0897998809814",46.7262001037598,14.0897998809814,1,"ARBÖ","INFT-AJJL7P","SOCAR Feldkirchen"
"46.7268981933594,14.0901002883911",46.7268981933594,14.0901002883911,1,"ARBÖ","INFT-AJJL7V","Shell Austria"
"46.7276000976562,13.7854995727539",46.7276000976562,13.7854995727539,1,"ARBÖ","INFT-B7CF6L","BP"
"46.7294998168945,15.6161003112793",46.7294998168945,15.6161003112793,1,"ARBÖ","INFT-CCMM5F","eni"
"46.7321014404297,14.0937995910645",46.7321014404297,14.0937995910645,2,"ARBÖ;JET","INFT-C6P6M8;d8f9d553ef","JET TANKSTELLE;JET Tankstelle"
"46.7337989807129,14.1559000015259",46.7337989807129,14.1559000015259,1,"ARBÖ","INFT-AJJL7N","Turm<U+00F6>l Quick"
"46.7360992431641,15.4443998336792",46.7360992431641,15.4443998336792,1,"ARBÖ","INFT-CJQMNB","M3 Gro<U+00DF>klein + Waschcenter"
"46.7374992370605,14.2857999801636",46.7374992370605,14.2857999801636,1,"ARBÖ","INFT-CCALZB","eni"
"46.738899230957,15.6022996902466",46.738899230957,15.6022996902466,1,"ARBÖ","INFT-AJJU4U","F. LEITNER"
"46.7402000427246,12.3752002716064",46.7402000427246,12.3752002716064,2,"ARBÖ;ÖAMTC","INFT-AWFENM;1137796","OMV - Sillian Arnbach 75b;OMV"
"46.7403984069824,12.3739004135132",46.7403984069824,12.3739004135132,1,"ARBÖ","INFT-AMEE84","BP"
"46.7414016723633,15.6049995422363",46.7414016723633,15.6049995422363,2,"ARBÖ;JET","INFT-C75F86;cc5f3fec58","JET TANKSTELLE;JET Tankstelle"
"46.7419013977051,13.1301002502441",46.7419013977051,13.1301002502441,2,"ARBÖ;ÖAMTC","INFT-B322DV;1210072","Disk TANKAUTOMAT;Disk"
"46.7429008483887,13.184700012207",46.7429008483887,13.184700012207,1,"ARBÖ","INFT-AK2GF6","Lagerhaus"
"46.7430992126465,12.3872003555298",46.7430992126465,12.3872003555298,2,"ARBÖ;ÖAMTC","INFT-CEZF6K;1212785","Disk Sillian-Arnbach;Disk"
"46.7448997497559,14.8228998184204",46.7448997497559,14.8228998184204,1,"ARBÖ","INFT-AJKLLP","OMV - Sankt Andr<U+00E4> Framrach 17"
"46.7461013793945,14.5310001373291",46.7461013793945,14.5310001373291,1,"ARBÖ","INFT-AJLGCM","BP"
"46.7467994689941,14.5313997268677",46.7467994689941,14.5313997268677,1,"ARBÖ","INFT-BK2G8M","F. LEITNER - Br<U+00FC>ckl"
"46.7473983764648,15.326000213623",46.7473983764648,15.326000213623,1,"ARBÖ","INFT-C3ULJ6","ENI - ERHART SB-Center Graschach"
"46.7482986450195,12.4530000686646",46.7482986450195,12.4530000686646,1,"ARBÖ","INFT-CE7TBG","Diskont Tankstelle"
"46.7486991882324,15.347900390625",46.7486991882324,15.347900390625,2,"ARBÖ;ÖAMTC","INFT-CDVEXK;1212721","F. LEITNER;F. Leitner "
"46.7487983703613,12.4638004302979",46.7487983703613,12.4638004302979,1,"ARBÖ","INFT-BZ7GHB","Eni Sillian"
"46.749698638916,12.4422998428345",46.749698638916,12.4422998428345,2,"ARBÖ;ÖAMTC","INFT-APNBLK;1209797","Shell Austria;Shell"
"46.7515983581543,14.8221998214722",46.7515983581543,14.8221998214722,2,"ARBÖ;JET","INFT-ATSHWR;9c2e6457c7","JET TANKSTELLE;JET Tankstelle"
"46.7521018981934,14.0350999832153",46.7521018981934,14.0350999832153,1,"ARBÖ","INFT-AJLMYV","BP"
"46.7532997131348,13.2475004196167",46.7532997131348,13.2475004196167,1,"ARBÖ","INFT-AJJU6A","Gutmann ENI TANKAUTOMAT"
"46.7541999816895,15.3650999069214",46.7541999816895,15.3650999069214,1,"ARBÖ","INFT-BTJMQC","F. LEITNER"
"46.7549018859863,15.3604001998901",46.7549018859863,15.3604001998901,2,"ARBÖ;ÖAMTC","INFT-ANAEJF;1208890","LH Gleinst<U+00E4>tten;Lagerhaus"
"46.7575988769531,15.3746004104614",46.7575988769531,15.3746004104614,2,"ARBÖ;ÖAMTC","INFT-CL3CTZ;1213153","Rumpold;Rumpold"
"46.7577018737793,15.62380027771",46.7577018737793,15.62380027771,1,"ARBÖ","INFT-AJJU4T","Rumpold"
"46.7584991455078,14.8464002609253",46.7584991455078,14.8464002609253,1,"ARBÖ","INFT-AJJKP9","Landesprodukte Scheiber"
"46.7584991455078,15.4462003707886",46.7584991455078,15.4462003707886,1,"ARBÖ","INFT-CW9CPA","M3 Fresing"
"46.7597999572754,14.3471002578735",46.7597999572754,14.3471002578735,2,"ARBÖ;JET","INFT-ATSHX6;d11dbb3a70","JET TANKSTELLE;JET Tankstelle"
"46.7601013183594,15.2069997787476",46.7601013183594,15.2069997787476,1,"ARBÖ","INFT-AJJKWM","SOCAR Schwanberg"
"46.7606010437012,13.5803003311157",46.7606010437012,13.5803003311157,2,"ARBÖ;ÖAMTC","INFT-AJJUAC;1209477","Diesel;Lagerhaus"
"46.7610015869141,14.3662996292114",46.7610015869141,14.3662996292114,1,"ARBÖ","INFT-AJKA7D","avanti - Sankt Veit an der Glan Klagenfurter Stra<U+00DF>e 78"
"46.761100769043,15.2177000045776",46.761100769043,15.2177000045776,1,"ARBÖ","INFT-AT3FUX","Tankstelle Koch GmbH"
"46.7616004943848,15.4013004302979",46.7616004943848,15.4013004302979,1,"ARBÖ","INFT-B57FN3","ENI"
"46.7625007629395,14.3577995300293",46.7625007629395,14.3577995300293,2,"ARBÖ;ÖAMTC","INFT-AJJKRP;1130096","Lagerhaus;Lagerhaus"
"46.763801574707,15.5803003311157",46.763801574707,15.5803003311157,1,"ARBÖ","INFT-B8WJTN","OMV - Landscha an der Mur 50"
"46.7645988464355,15.4945001602173",46.7645988464355,15.4945001602173,1,"ARBÖ","INFT-BZNFAK","Shell"
"46.7658996582031,14.3659000396729",46.7658996582031,14.3659000396729,1,"ARBÖ","INFT-AJJKRS","OMV - Sankt Veit an der Glan Lastenstra<U+00DF>e 38"
"46.766300201416,14.3770999908447",46.766300201416,14.3770999908447,1,"ARBÖ","INFT-C9NKVH","Turm<U+00F6>l"
"46.7685012817383,15.2363004684448",46.7685012817383,15.2363004684448,2,"ARBÖ;ÖAMTC","INFT-AJK39Z;1208894","LH Trag;Lagerhaus"
"46.7724990844727,14.3670997619629",46.7724990844727,14.3670997619629,1,"ARBÖ","INFT-AJKTMQ","BP"
"46.7725982666016,15.5545997619629",46.7725982666016,15.5545997619629,1,"ARBÖ","INFT-AJKA6T","Diskont Neubauer"
"46.7827987670898,13.5343999862671",46.7827987670898,13.5343999862671,1,"ARBÖ","INFT-AKBFBB","BP Spittal/Drau "
"46.7837982177734,15.5426998138428",46.7837982177734,15.5426998138428,1,"ARBÖ","INFT-AJKA6U","Treibstoffparadies"
"46.7863006591797,13.5223999023438",46.7863006591797,13.5223999023438,2,"ARBÖ;ÖAMTC","INFT-CANNND;1211365","Turm<U+00F6>l;Turm<U+00F6>l"
